stop_id,stop_name,stop_lat,stop_lon
7612,Davenport Hotel Merrion Street,53.3413467794909,-6.250529480367451
2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887
3,"Rotunda, Granby Place",53.35230855143251,-6.26381074216825
4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797
6,"Rotunda, Saint Martin's Chapel",53.3527493357046,-6.264453803964339
7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749
8,"Rotunda, Parnell Square West",53.3532722714822,-6.265183676574
10,"Rotunda, Parnell Square West",53.3533921036473,-6.265389123899539
11,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.3569583030018,-6.264628310669281
12,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.356804940545,-6.2645894713639105
14,"Phibsborough, Lower Dorset Street",53.358531237875795,-6.26277650570871
15,"Ballybough, Lower Dorset Street",53.360088584135895,-6.261090470313599
16,"Cabra, John Paul Park",53.36639155714111,-6.3056141835273705
17,"Drumcondra, Outside Train Station",53.36291707327501,-6.2584359173339905
18,"Drumcondra, Lower Drumcondra Road",53.365855925916605,-6.25595682067835
19,"Drumcondra, Lower Drumcondra Road",53.3671437314429,-6.25551350128863
21,"Drumcondra (Dublin), Saint Patrick's College",53.3701011992947,-6.25431059904442
22,"Drumcondra (Dublin), Home Farm Road (Achill Road)",53.3735036097406,-6.25280375269006
23,"Drumcondra (Dublin), Ferguson Road",53.374228280079095,-6.256261004167
24,"Drumcondra (Dublin), Home Farm Road",53.375133158884104,-6.26037234812319
25,"Glasnevin, Rathlin Road",53.375899466147395,-6.26361773641709
27,"Glasnevin, Ballymun Road (Griffith Avenue)",53.3794389600107,-6.266585261260031
28,"Wadelai, Glasnevin Tennis Club",53.381578637628,-6.26600227077738
29,"Whitehall (Dublin City), Ballymun Road",53.383488252945696,-6.26566910125417
30,"Cabra, Pope John Paul II Park",53.3703319001931,-6.304601169229129
31,"Wadelai, Maolbuille Road",53.3860332259144,-6.2688580772749996
32,"Wadelai, Saint Pappin's Road",53.386195568073795,-6.271377201041401
33,"Wadelai, Glasnevin Drive",53.3887179243058,-6.27177114122451
35,"Wadelai, Dean Swift Road",53.386206787101294,-6.270910692540999
36,"Wadelai, Saint Pappin's Road",53.386126850410996,-6.267877069783389
37,"Whitehall (Dublin City), DCU Ballymun Road",53.385346401194,-6.264886981317941
38,"Whitehall (Dublin City), Ballymun Road",53.3822365941636,-6.265509521205059
39,"Glasnevin, Ballymun Road (Griffith Avenue)",53.3804141869323,-6.265658759065889
40,"Glasnevin, Mobhi Road",53.37666076545071,-6.26466896852795
41,"Drumcondra (Dublin), Home Farm Road",53.375559268325794,-6.26185800624669
42,"Drumcondra (Dublin), Ferguson Road",53.3746502734575,-6.25746118972134
43,"Drumcondra (Dublin), Home Farm Road (Achill Road)",53.37386122022679,-6.253901310433919
44,"Drumcondra (Dublin), Homefarm Road",53.3730174091204,-6.25213230324296
45,"Drumcondra, Upper Drumcondra Road",53.369990110962895,-6.254089717169911
46,"Drumcondra (Dublin), Botanic Avenue",53.3671507382056,-6.25537796909961
47,"Drumcondra, Near Train Station",53.3639161189927,-6.25729825652802
48,"Summerhill (Dublin City), Lower Drumcondra Road",53.362329033001004,-6.25879046525832
49,"Ballybough, Lower Dorset Street",53.360031842720794,-6.26089745848732
51,Upper Dorset St (Temple Street),53.3579898458103,-6.26324925121845
52,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.3567946474934,-6.264499747697281
